tag;nombre;piso;mostrarDescripcion;descripcion;nombre2
bib;Biblioteca ;1;true;Puedes estudiar con tranquilidad. También puedes solicitar libros y portátiles;Biblioteca 
cafe;Cafetería;1;false;;Cafetería
bienes;Bienestar institucional;1;true; Bienestar institucional ofrece múltiples servicios que puedes encontrar en su página web;Bienestar institucional
aud;Auditorio ;1;true;Bajando por las escaleras también encontrarás la sala de videoconferencias y los parqueaderos;Auditorio 
plaz;Plazoleta;1;false;;Plazoleta
e8;Entrada Carrera octava;1;false;;Entrada Carrera octava
e7;Entrada Carreta<br>séptima;1;false;;Entrada Carreta séptima
b1;Baño piso 1;1;true;Baño de hombres y de mujeres;Baño piso 1
s201;Salón 201;2;false;;Salón 201
s202;Salón 202;2;false;;Salón 202
s203;Salón 203;2;false;;Salón 203
s204;Salón 204;2;false;;Salón 204
s205;Salón 205;2;false;;Salón 205
s206;Salón 206;2;false;;Salón 206
b2;Baño piso 2;2;true;Baño de hombres y de mujeres;Baño piso 2
s301;Salón 301;3;false;;Salón 301
s302;Salón 302;3;false;;Salón 302
s303;Salón 303;3;false;;Salón 303
s304;Salón 304;3;false;;Salón 304
s305;Salón 305;3;false;;Salón 305
s306;Salón 306;3;false;;Salón 306
s307;Salón 307;3;false;;Salón 307
s308;Salón 308;3;false;;Salón 308
s309;Salón 309;3;false;;Salón 309
s310;Salón 310;3;false;;Salón 310
s311;Salón 311;3;false;;Salón 311
s312;Salón 312;3;false;;Salón 312
b3;Baño piso 3;3;true;Baño de hombres y de mujeres;Baño piso 3
alfoto;Almacen<br>de fotogrametría;3;false;;Almacén de fotogrametría
s401;Salón 401;4;false;;Salón 401
s402;Salón 402;4;false;;Salón 402
s403;Salón 403;4;false;;Salón 403
s404;Salón 404;4;false;;Salón 404
s405;Salón 405;4;false;;Salón 405
s406;Salón 406;4;false;;Salón 406
s407;Salón 407;4;false;;Salón 407
s408;Salón 408;4;false;;Salón 408
s409;Salón 409;4;false;;Salón 409
s410;Salón 410;4;false;;Salón 410
s411;Salón 411;4;false;;Salón 411
s412;Salón 412;4;false;;Salón 412
b4;Baño piso 4;4;true;Baño de hombres y de mujeres;Baño piso 4
sid;Semana de<br>ingenio y diseño;4;false;;Semana de ingenio y diseño
cg1;Centro de gestión;4;false;;Centro de gestión
cg2;Centro de gestión;4;false;;Centro de gestión
ieee;IEEE UD;4;false;;IEEE UD
s500;Salón 500;5;false;;Salón 500
s501;Salón 501;5;false;;Salón 501
s502;Salón 502;5;false;;Salón 502
s503;Salón 503;5;false;;Salón 503
s504;Salón 504;5;false;;Salón 504
s505;Salón 505;5;false;;Salón 505
s506;Salón 506;5;false;;Salón 506
s507;Salón 507;5;false;;Salón 507
s508;Salón 508;5;false;;Salón 508
s509;Salón 509;5;true;Laboratorio de física;Salón 509
s510;Salón 510;5;true;;Salón 510
CoorLab;Coordinación<br>de laboratorios;5;false;;Coordinación de laboratorios
mTele5;Maestría en<br>telecomunicaciones<br>móviles;5;false;;Maestría en telecomunicaciones móviles
labnano;Laboratorio de<br>nanotecnología;5;false;;Laboratorio de nanotecnología
labfoto;Laboratorio de<br>fotogrametría <br>digital;5;false;;Laboratorio de fotogrametría digital
b5;Baño piso 5;5;true;Baño de hombres y de mujeres;Baño piso 5
labcir;Laboratorio<br>de circuitos;6;false;;Laboratorio de circuitos
labelc1;Laboratorio<br>de electrónica;6;false;;Laboratorio de electrónica
labelc2;Laboratorio<br>de electrónica;6;false;;Laboratorio de electrónica
labelcb;Laboratorio<br>de electrónica<br>básica;6;false;;Laboratorio de electrónica básica
labma;Laboratorio de<br>máquinas;6;false;;Laboratorio de máquinas
labcom;Laboratorio de<br>comunicaciones;6;false;;Laboratorio de comunicaciones
admisa;Administración<br>de salas de<br>informática;6;false;;Administración de salas de informática
admilab;Almacén de<br>laboratorios;6;false;;Almacén de laboratorios
s601;Salón 601;6;false;;Salón 601
labdi;Laboratorio de<br>digitales;6;false;;Laboratorio de digitales
astro;Astrofísica y ondas<br>electromagnéticas;6;false;;Astrofísica y ondas electromagnéticas
tele;Laboratorio de<br>televisión;6;false;;Laboratorio de televisión
gibud;GIBIUD;6;false;;GIBIUD
labinv;Laboratorio de<br>ingeniería  inversa;6;false;;Laboratorio de ingeniería inversa
gitud;GITUD;6;false;;GITUD
mTele6;Maestría en<br>telecomunicaciones<br>móviles;6;false;;Maestría en telecomunicaciones móviles
sii;Semana de<br>ingeniería <br>industrial;6;false;;Semana de ingeniería industrial
b6;Baño piso 6;6;true;Baño solo de mujeres;Baño piso 6
s701;Sala de<br>informática<br>701;7;false;;Sala de informática 701
s702;Sala de<br>informática 702;7;false;;Sala de informática 702
s703;Sala de<br>informática 703;7;false;;Sala de informática 703
s704;Sala de<br>informática 704;7;false;;Sala de informática 704
s705;Sala de<br>informática 705;7;false;;Sala de informática 705
gitem;Grupo de<br>investigación <br>GITEM;7;;;Grupo de investigación GITEM
labisf;Laboratorio de<br>ingeniería  de<br>software;7;false;;Laboratorio de ingeniería de software
labcc;Laboratorio de<br>ciencias de<br>la computación;7;false;;Laboratorio de ciencias de la computación
labct;Laboratorio<br>de control;7;false;;Laboratorio de control
labhi;Laboratorio<br>de hidráulica<br>y ergonomía;7;false;;Laboratorio de hidráulica y ergonomía
lamic;Grupo de<br>investigación<br>LAMIC;7;false;;Grupo de investigación LAMIC
evado;Oficina de<br>evaluación<br>docente;7;false;;Oficina de evaluación docente
lifae;Grupo de<br>investigación<br>LIFAE;7;false;;Grupo de investigación LIFAE
laser;Grupo de<br>investigación<br>LASER;7;false;;Grupo de investigación LASER
dsp;Grupo de<br>investigación<br>DSP;7;false;;Grupo de investigación DSP
b7;Baño piso 7;7;true;Baño solo de hombres;Baño piso 7
ter;Terraza;8;false;;Terraza
